orchid_id,genus,scientific_name,common_name,growth_type,growth_habit,root_type,native_habitat,sepal_length_cm,sepal_width_cm,petal_length_cm,petal_width_cm,lip_length_cm,lip_width_cm,pseudobulb_height_cm,leaf_length_cm,leaf_width_cm,flower_count,fragrance_intensity,bloom_duration_days,color_pattern,leaf_pattern,leaf_type
1,Cattleya,Cattleya labiata,Corsage Orchid,sympodial,unifoliate,thick_aerial,South_America,5.547699907107863,2.544694279531526,6.318150830480554,5.113817913844815,5.336092637693665,4.612690434440656,20.72724485427587,25.783686699933963,4.777473052658543,2,8.613840065378946,12.48392454313207,purple_white_lip,,
2,Cattleya,Cattleya walkeriana,Walker's Cattleya,sympodial,unifoliate,thick_aerial,South_America,2.8433598776711007,1.5825246502460901,3.8626274824554168,2.6948675518662304,3.657123666297637,2.8367903697915158,5.534162227195887,16.403816552980352,3.641956589659425,1,11.247590424830234,10.788466043759202,pink_purple_lip,,
3,Cattleya,Cattleya nobilior,Noble Cattleya,sympodial,bifoliate,thick_aerial,South_America,4.1733314991336075,2.1453693013722637,4.0798223049258615,3.6737199105233196,3.974620400757309,3.18222012986268,7.646119513311005,15.182382763527933,3.67308095692601,4,8.093366565215849,22.33493912465732,pink_spotted_lip,,
4,Cattleya,Cattleya lueddemanniana,Lueddemann's Cattleya,sympodial,bifoliate,thick_aerial,South_America,5.6355478069976215,2.587455326421545,5.805408831158888,3.1945487942809354,3.091694050524179,4.3642202501002085,11.131760848844825,12.978619800818482,4.007467860557604,4,7.847821030483471,19.55099383837343,yellow_purple_spots,,
5,Cattleya,Cattleya percivaliana,Christmas Orchid,sympodial,unifoliate,thick_aerial,South_America,5.815465864087009,3.1774988986223676,5.313550698905884,3.6635658235105275,3.593477368362014,5.2697528830493745,13.631257211933903,18.453275110911648,6.2797163447007005,4,5.762867296870915,15.918890601267362,pink_white_lip,,
6,Cattleya,Cattleya schilleriana,Schiller's Cattleya,sympodial,bifoliate,thick_aerial,South_America,3.897797731947971,2.348630275865042,4.002908751195991,4.1489185014506695,2.7398045974663123,2.7405446439939194,9.660012598808084,9.80187357836665,4.125494970403652,6,5.3968932987479095,16.29252482384111,green_brown_spots,,
7,Cattleya,Cattleya aclandiae,Acland's Cattleya,sympodial,bifoliate,thick_aerial,South_America,3.4005793326099223,2.1474559958796084,3.6285584350281397,2.6258051583452686,3.3487448534199107,2.6702213175819334,6.94328061639976,13.482813756934938,3.071684908653723,4,8.095391703453963,7.03447185730959,pink_purple_yellow,,
8,Cattleya,Cattleya mossiae,Easter Orchid,sympodial,unifoliate,thick_aerial,South_America,6.076414355111013,2.9022417742098536,5.9397768291770525,4.817055428573457,5.667151273319147,5.29344494708528,10.006277280577912,20.490410276816963,7.344354612525223,5,8.572276251929232,21.38972633745586,pink_purple_lip,,
9,Cattleya,Cattleya trianae,Flor de Mayo,sympodial,unifoliate,thick_aerial,South_America,4.784583421131327,2.9206189369334448,5.0757017612063295,3.2156609811902337,5.185693688709012,4.726353122880742,15.014889451720531,16.15338892630052,5.62223544874888,3,3.6766680869738946,14.026270071186694,white_pink_lip,,
10,Cattleya,Cattleya amethystoglossa,Amethyst Cattleya,sympodial,bifoliate,thick_aerial,South_America,5.053897565005172,3.082641981471385,5.411512590944765,3.5045721728700685,3.880676421900474,4.189452039577463,8.19824145097667,19.238076923051846,3.4682472549909784,9,7.818443908445781,15.921428262847284,purple_lavender_spots,,
11,Cattleya,Cattleya guttata,Spotted Cattleya,sympodial,bifoliate,thick_aerial,South_America,3.3962583827193864,2.2553901575596913,4.6559296765490545,3.5127291487109242,3.181524644560959,2.8397716934578616,12.104853914042245,17.53944635631615,4.1753449952421136,6,7.3889619561448585,14.879217419896044,yellow_brown_spots,,
12,Cattleya,Cattleya granulosa,Granulated Cattleya,sympodial,bifoliate,thick_aerial,South_America,3.442824290986816,2.559732353343427,4.384299752547072,2.4234786011189406,3.828276804316915,2.8101273319090714,11.231586128233396,18.80750585282369,3.2255223771538026,7,9.118010322286343,12.28121647541857,green_brown_granular,,
13,Cattleya,Cattleya labiata,Corsage Orchid,sympodial,unifoliate,thick_aerial,South_America,6.046567379480644,2.8151840014767986,7.987537727249393,4.256259258091168,4.515516312972916,4.772376275124153,11.829445308768557,26.790464003902752,5.237782058023021,5,7.594092274353276,12.94647524914709,purple_white_lip,,
14,Cattleya,Cattleya walkeriana,Walker's Cattleya,sympodial,unifoliate,thick_aerial,South_America,3.7635855436715633,1.8459618845794785,3.2910916651884814,2.9213940191731917,3.928199397161736,3.2856374976520817,5.883948564704825,12.78490659238331,4.069722165810186,2,9.2465669747568,7.714059404338753,pink_purple_lip,,
15,Cattleya,Cattleya nobilior,Noble Cattleya,sympodial,bifoliate,thick_aerial,South_America,4.314672416208969,2.46823535791047,5.258135870222694,3.7269010260174515,2.9733983792257455,3.0310874800424386,11.487588168021649,17.344115042919068,4.512038149044838,6,12.723277788785666,11.681524356387285,pink_spotted_lip,,
